 ,DF,TEST,Thema / Kategorie,Name Intent / Problem,Eltern-Intent,Grundlegende Fragestellungen,Alternative Frageformulierungen (Training Phrases),Antwort (Textform),Antwort (Verweis / URL),Quelle,Kommentare
43,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_warum,,Warum brauche ich Antiviren-Software?,"Wozu benötige ich Antiviren Software?
Was bringt mir Antiviren Software?
",Du benötigst Antiviren-Software zum Schutz vor fremdem Zugriff auf das System und vor Schadsoftware. Mehr Details sind hier aufgelistet: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,Link geändert
44,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_welche,,Welche Antiviren Software kann ich über die HdM beziehen?,"Welche Antiviren Software gibt es an der HdM?
Welche Schutzsoftware gibt es?","Die HdM stellt Sophos Endpoint Protection Advanced (Virenscanner, lokale Firewall, Web-Content-Filterung, Malwareerkennung und Applikationsüberwachung) zur Verfügung. Weitere Informationen zu Sophos gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz",https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,Link geändert
45,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_verfügbar,,Für welches Betriebssystem ist die Antiviren-Software verfügbar?,"Für welches OS gibt es Antiviren Software?
Gibt es Antiviren-Software für Windows?
Gibt es Antiviren-Software für Linux?
Gibt es Antiviren-Software für Mac OS?",Es stehen Installer für Windows (reiner Virenschutz oder Virenschutz mit Firewall) und Installationspakete für macOS und Linux (nur Virenschutz) bereit. Details sind hier zu finden: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,Link geändert
46,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_lizenzdauer,,Wie lange ist die Lizenz für die Antiviren-Software gültig?,"Wie lange ist die Antiviren-Software gültig?
Wann läuft die Antiviren Lizenz ab?
",Die „StudentHome-Version“ ist von der Laufzeit auf ein Semester beschränkt. Jeweils zum Start des neuen Semesters wird eine neue Version zur Verfügung gestellt. Für mehr Infos kannst Du dich hier umsehen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,Link geändert
47,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_abgelaufen,,Meine Antiviren-Software Lizenz ist abgelafufen,"Was tun wenn Antiviren-Software abgelaufen ist?
Wie bekomme ich eine neue Lizenz?",Jeweils zum Start des neuen Semesters wird eine neue Version zur Verfügung gestellt. Hier gibt es Informationen wie Du an eine neue Lizenz kommst: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,Link geändert
48,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_installationspacket,,Wie komme ich an das Installationspaket?,"Wo gibt es einen Download für das Installationspaket?
Wo downloaden?
Sophos downloaden",Es stehen Installationspakete für Windows und macOS bereit. Die Installationsquellen für Linux werden nur nach Anforderung (bitte per Ticket einstellen) generiert. Das aktuelle (SoSe 21) Installationspaket gibt es hier: https://filestore.hdm-stuttgart.de/s/va9HXS6ZBpe9Zr4,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,
49,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_installationsanleitung,,Wo finde ich die Installationsanleitungen für die Antivirenschutz Software?,"Wo finde ich Systemdokumentation zur Sophos Software?
Wo finde ich eine Installationsanleitung für Sophos?
Gibt es eine Installationsanleitung für Sophos? ",Im Verzeichnis \\fs1.hdm-stuttgart.de\rz-service\Software\SOPHOS\StudentHome\ gibt es Anleitungen. Der Zugriff darauf ist nur aus dem HdM-Netz möglich.,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,
50,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_installationsberechtigung,,Welche Berechtigungen sind zur Installation nötig?,"Benötige ich Administrationsrechte zur Installation von Sophos?
Welche Rechte brauche ich für Sophos?",Für die Installation der Software sind administrative Rechte erforderlich.,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,
51,FALSE,FALSE,Sophos Virenschutz,antivirus_sophos_installationshinweise,,Gibt es Hinweise zur Installation von Sophos?,"Was passiert beim Update von Sophos?
Windows Defender
","Jegliche Antivirensoftware sollte vor der Sophos-Installation deinstalliert werden. Auch der Windows Defender muss deaktiviert sein. Aktualisierungen (Virensignaturen- und Engine-Updates) werden über einen internen Webserver bereitgestellt. Dieser ist weltweit erreichbar, so dass auch mobile Systeme von extern aus aktualisiert werden können. Die Daten für den Zugriff (Servername und Zugang) sind im Installationspaket hinterlegt. \n Ein Update der Version ist durch eine Neuinstallation möglich. Bitte starte die Installation mit Administrationsrechten. Die alte Sophos-Version wird automatisch deinstalliert. Nach einem Systemneustart steht die Antivirensoftware vollständig zur Verfügung. Eine Eingabe von Seriennummern, Lizenzschlüssel oder Updateservern ist nicht erforderlich. Mehr Informationen zu Sophos sind hier hinterlegt: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virenschutz,Link geändert
52,FALSE,FALSE,Firefox,Grundeinrichtung_Firefox,,Wie geht die Grundeinrichtrung von Firefox?,"Wie richte ich Firefox ein?
Wie funktioniert die Einrichtung von Firefox?
Grundeinrichtung Firefox
Einrichtung Firefox",Zur Einrichtung von Firefox gehören mehrere Schritte für Details gibt es hier eine Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Grundeinrichtung.pdf) \n Beschrieben wird das Einblenden der Menüleiste und wie die Startseite individuell eingestellt werden kann.,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Grundeinrichtung.pdf,Link geändert
,FALSE,FALSE,Firefox,Firefox_Standardbrowser,,Wie stelle ich Firefox als Standardbrowser ein?,"Wie ändere ich den Standardbrowser auf Firefox?
Wie stelle ich den Standardbrowser auf Firefox um?
Standardbrowser Firefox","Um Firefox als Standardbrowser festzulegen müssen in der Menüleiste über den Punkt ""Extras"" die ""Einstellungen"" geöffnet werden. Unter dem Abschnitt ""Allgemein"" kann rechts neben ""Firefox ist nicht Ihr Standardbrowser"" ""Als Standard festlegen..."" ausgewählt werden. Daraufhin öffenen sich in den Einstellungen die ""Standard-Apps"". Für den ""Webbrowser"" kann hier auch Firefox ausgewählt werden. Unter https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Grundeinrichtung.pdf gibt es eine deteillierte Anleitung dazu.",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Grundeinrichtung.pdf,Link geändert
,FALSE,FALSE,Firefox,Firefox_Menueleiste,,Wie blende ich bei Firefox die Menüleiste ein?,"Wie blende ich bei Firefox die Menüzeile ein?
Wie kann man für Firefox die Menüzeile einblenden?
Wie zeige ich die Menüzeile in Firefox an?
Wie kann man das Menü für Firefox aufrufen?
Wie zeigt man das Menü in Firefox an?
Menüleiste Firefox
Menüzeile Firefox
Menü Firefox","Um bei Firefox die Menüleiste einzublenden muss der Balken oben im Browserfenster mit der rechten Maustaste angeklickt werden. Daraufhin erscheint ein Auswahlfenster mit der Option ""Menüleiste"". Diese muss ausgewählt werden, dann wird die Menüleiste angezeigt. Diese Anleitung enthält weitere Informationen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Grundeinrichtung.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Grundeinrichtung.pdf,Link geändert
53,FALSE,FALSE,Firefox,Startseite_Firefox,,Wie ändere ich die Startseite bei Firefox?,"Wie stelle ich eine andere Startseite bei Firefox ein?
Wie stelle ich bei Firefox die Startseite um?
Wie kann man die Startseite für Firefox umstellen?
Wie ändert man die Startseite bei Firefox?
Startseite einstellen Firefox
Firefox Startseite ändern","Um die Startseite für Firefox zu ändern müssen über den Menüpunkt ""Extras"" die ""Einstellungen"" aufgerufen werden. Es öffnet sich ein neues Fenster das in der linken Spalte den Menüpunkt ""Startseite"" enthält. Nach dem Anklicken dieses Menüpunktes siehst Du ein Fenster mit der bisherigen Startadresse. Hier kann eine beliebige Adresse eingetragen werden, die in Zukunft als Startseite verwendet werden soll. Weitere Details gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Startseiteaendern.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_Startseiteaendern.pdf,Link geändert
54,FALSE,FALSE,Firefox,Tabs_Firefox,,Wie öffnen sich mehrere Tabs beim Start von Firefox?,"Können sich mehrere Tabs beim Start von Firefox automatisch öffnen?
Ich möchte, dass sich beim Start von Firefox automatisch mehrere Tabs öffnen.
Wie öffne ich automatisch mehrere Tabs bei Firefox?
Wie richte ich ein, dass sich mehrere Tabs beim Start von Firefox öffnen?
Firefox Tabs automatisch öffnen","Um Firefox so einzustellen, dass mehrere Tabs automatisch geöffnet werden sind mehrere Schritte notwendig. Eine detaillierte Anleitung gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_MehrereStartseitentabs.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Firefox_MehrereStartseitentabs.pdf,Link geändert
,FALSE,FALSE,Firefox,Citrix_Aufruf_Firefox,,Wie rufe ich IReMo auf?,"Wie kann ich IReMo aufrufen?
Wie kann ich Citrix aufrufen?
Wo finde ich IReMo?
Wo finde ich Citrix?","Unter der Adresse ""10.10.36.140/Citrix/XenApp"" kann die Anwendung im Browser aufgerufen werden. Weitere Informationen sind hier zu finden: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/IReMo_verbinden.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/IReMo_verbinden.pdf,Link geändert
56,FALSE,FALSE,Firefox,Citrix_Verknuepfung_Firefox,,Wie erstelle ich eine Citrix-Verknüpfung?,"Wie erstelle ich eine Citrix-Verknüpfung auf dem Desktop?
Wie mache ich eine Citrix-Verknüpung?
Wie lege ich eine Citrix Verknüpfung an?
Wie füge ich eine Citrixverknüpfung hinzu?
Citrix Verknüpfung erstellen","Um eine Citrix-Verknüpfung auf dem Desktop anzulegen musst Du mit der rechten Maustaste ins Leere auf den Bildschirm klicken. Wähle ""Neu"" > ""Verknüpfung"" aus. Daraufhin öffnet sich ein Fenster mit dem Feld ""Geben Sie den Speicherort des Elements ein:"". Dort muss die Adresse http://10.10.36.140/Citrix/XenApp eingetragen werden, mit ""Weiter"" wird die Eingabe bestätigt und die Verknüpfung kann benannt werden (zb. Citrix). Mit ""Fertig stellen"" wird auf dem Desktop eine Verknüpfung angelegt. Die Anleitung für diesen Vorgang gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/IReMo_verbinden.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/IReMo_verbinden.pdf,Link geändert
57,FALSE,FALSE,E-Mail Mozilla Thunderbird,Grundeinrichtung_Thunderbird,,Wie richte ich Thunderbird ein?,"Wie ist die Grundeinrichtung bei Thunderbird?
Wie richtet man Thunderbird ein?
Was muss man bei der Einrichtung von Thunderbird beachten?
Einrichtung Thunderbird",Die Einrichtung von Thunderbird mit Informationen zur Einrichtung des HdM-Adressbuches und des Kalenders wird in dieser Anleitung beschrieben: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Grundeinrichtung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Grundeinrichtung.pdf,Link geändert
58,FALSE,FALSE,E-Mail Mozilla Thunderbird,Adressbuch_Thunderbird,,Wie richte ich bei Thunderbird das HdM Adressbuch ein?,"Wie richtet man bei Thunderbrid das Adressbuch der HdM ein?
Wie richte ich das Adressbuch der HdM für Thunderbird ein?
Wie füge ich das Adressbuch der HdM bei Thunderbird hinzu?
Thunderbird Adressbuch HdM","Für das Einrichten des HdM-Adressbuches in Thunderbird gibt es hier eine Anleitung, die die einzelnen Schritte erklärt: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_HdMAdressbuch.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_HdMAdressbuch.pdf,Link geändert
59,FALSE,FALSE,E-Mail Mozilla Thunderbird,Signatur_Thunderbird,,Wie richte ich eine Signatur bei Thunderbird ein?,"Wie erstelle ich eine Signatur für Thunderbird?
Können Kontaktdaten automatisch beim Schreiben einer Mail in Thunderbird eingefügt werden?
Wie fügt man in Thunderbird eine Signatur hinzu?
Wie ergänzt man für Thunderbird eine Signatur?
Wie richtet man bei Thunderbird eine Signatur ein?
Signatur Thunderbird","Bei Thunderbird können Signaturen über den Menüpunkt ""Extras"", ""Konten-Einstellungen"" eingerichtet werden. Für Details gibt es hier eine Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Signatur.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Signatur.pdf,Link geändert
60,FALSE,FALSE,E-Mail Mozilla Thunderbird,Kalender_Thunderbird,,Wie kann ich meinen Kalender bei Thunderbird einbinden?,"Wie kann ich meinen Kalender mit Thunderbird verbinden?
Wie nutze ich den Kalender auch in Thunderbird?
Wie mache ich meinen Kalender in Thunderbird sichtbar?
Thunderbird Kalender",Im Thunderbird können Kalender die auf ox.hdm-stuttgart.de vorhanden sind ebenfalls genutzt werden. Die dafür notwendigen Schritte sind in dieser Anleitung zu finden: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Kalendereinbinden.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Kalendereinbinden.pdf,Link geändert
61,FALSE,FALSE,E-Mail Mozilla Thunderbird,Junkfilter_Thunderbird,,Wie richte ich einen selbstlernende Junkfilter für Thunderbird ein?,"Gibt es einen selbstlernenden Junkfilter für Thunderbird?
Wie kann ich einen Junkfilter für Thunderbird erstellen?
Wie erstelle ich für Thunderbird einen SPAM-Filter?
Wie kann man Spammails in Thunderbird besser ausfiltern?",Thunderbird ermöglicht es einen selbstlernenden Junk-Filter einzusetzen. Wie das geht wird hier genauer beschrieben: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Junkfilter.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Junkfilter.pdf,Link geändert
62,FALSE,FALSE,E-Mail Mozilla Thunderbird,Identitaeten_Thunderbird,,Wie erstelle ich bei Thunderbird weitere Identitäten? ,"Wie kann ich Maillisten für Thunderbird erstellen?
Wie kann man mit Thunderbird Maillisten nutzen?
Wie funktioniert die Einrichtung von Maillisten bei Thunderbird?
Wie kann man bei Thunderbird neue Identitäten hinzufügen?","Um eine Mailliste in Thunderbird einzusetzen muss eine weitere Identität angelegt werden. Dafür muss im Menü der Punkt ""Extras"" und danach ""Konten-Einstellungen"" aufgerufen werden. Unten rechts ""Weitere Identitäten"" anklicken und dann ""Hinzufügen"". Dann muss der Name der Identität angegeben werden und die Mailadresse unter ""Antwortadresse"". Jetzt kann für neue Mails beim Feld ""Von:"" die gewünschte Absenderadresse ausgewählt werden. Die Anleitung dazu gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_weitereIdentitaeten.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_weitereIdentitaeten.pdf,Link geändert
63,FALSE,FALSE,E-Mail Mozilla Thunderbird,CPULast_Thunderbird,,Verursacht Thunderbird eine hohe CPU-Last?,"Wieso wird mein Computer lauter wenn ich Thunderbird benutze?
Wieso läuft die Prozessorlüftung ständig auf Volllast wenn Thunderbird geöffnet ist?
Wieso wird mein Notebook lauter wenn ich Thunderbird benutze?
Warum ist die Lüftung so laut wenn ich Thunderbird öffne?
Wie kann ich mein Notebook bei Thunderbird leiser machen?
Warum wird mein PC lauter bei Thunderbird?
Warum wird mein Rechner lauter wenn ich Thunderbird benutze?
Wie reduziere ich die CPU-Last für Thunderbird?",Für die Behebung dieses Problems kann Thunderbird entsprechend umgestellt werden. Für die einzelnen Schritte gibt es hier eine Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_HoheCPULast.pdf ,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_HoheCPULast.pdf,Link geändert
64,FALSE,FALSE,E-Mail Mozilla Thunderbird,Profil_Thunderbird,,Warum habe ich keinen Zugriff auf mein Thunderbird-Profil?,"Wie kann ich den Zugriff auf Thunderbird wieder ermöglichen?
Was muss ich tun wenn ich keinen Zugriff mehr auf mein Thunderbird-Profil habe?
Nach einem Update kann ich Thunderbird nicht mehr nutzen, was kann ich tun?
Mein Profil bei Thunderbird ist beschädigt, was kann ich tun?
Wie kann ein beschädigtes Thunderbird-Profil wieder genutzt werden?
Wie kann man ein Thunderbird Profil reparieren?","Wenn der Zugriff auf das Thunderbird-Profil nicht mehr möglich ist, kann ein erfolgtes Update das Problem sein. Um das Thunderbird-Profil wieder nutzen zu können müssen mehrere Schritte absolviert werden, die hier beschrieben werden: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Profilbeschaedigt.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Profilbeschaedigt.pdf,Link geändert
65,FALSE,FALSE,E-Mail Mozilla Thunderbird,Papierkorb_Thunderbird,,Wie deaktiviere ich den Papierkorb bei Thunderbird?,"Warum kann ich keine Mails mehr löschen?
Ich kann in Thunderbird keine Mails mehr löschen, was kann ich tun?
Warum wird mir in Thunderbird Over Quota angezeigt?
Wie leere ich meine Mailbox in Thunderbird?
Meine Mailbox in Thunderbird ist voll und ich kann nichts mehr löschen.
Thunderbird löschen geht nicht mehr","Wenn das Löschen von Mails in Thunderbird nicht mehr möglich ist, müssen ein paar Schritte absolviert werden. Dafür kannst Du Dich hier informieren:  
https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Papierkorbdeaktivieren.pdf ",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Thunderbird_Papierkorbdeaktivieren.pdf,Link geändert
66,FALSE,FALSE,Arbeitsplatz einrichten,PC_erste_Anmeldung,,Was muss bei der ersten Anmeldung am Computer beachtet werden?,"Was muss bei der ersten Anmeldung am PC beachtet werden?
Wie melde ich mich zum ersten Mal am Computer an?
erste Anmeldung Computer
ertse Anmeldung PC","Für die Anmeldung am Computer gilt der Benutzername und das Passwort, das für die Domäne ""HdM"" angelegt wurde. Weitere Informationen sind unter https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf verfügbar.",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,Link geändert
67,FALSE,FALSE,Arbeitsplatz einrichten,PC_erste_Einrichtung,,Was muss ich nach der Anmeldung am PC einrichten?,"Was muss man nach der ersten Anmeldung am PC machen?
Muss ich nach der ersten Anmeldung am PC etwas tun?
Was muss ich nach der ersten Anmeldung am Computer beachten?
Einrichtung PC
Einrichtung Computer",Für alle Fragen zur Anmeldung und Einrichtung des Computers gibt es hier eine Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,Link geändert
68,FALSE,FALSE,Arbeitsplatz einrichten,Passwortaenderung,,Wo ändere ich mein Passwort?,"Kann ich mein Passwort ändern?
Wie ändere ich mein Passwort?
Wo ändere ich mein Passwort?
Wo kann ich mein Passwort ändern?
Passwort ändern
Passwort wechseln",Das Passwort kann unter https://vw-online.hdm-stuttgart.de/hdmaccount/passwort/ geändert werden.,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,
69,FALSE,FALSE,Arbeitsplatz einrichten,Passwortaenderung_Zusatzinformationen,,"Was muss ich beachten, wenn ich mein Passwort geändert habe?","Warum funktioniert mein Passwort nicht mehr nachdem ich es geändert habe?
Warum funktioniert mein Passwort nicht mehr","Nach einer Passwortänderung funktioniert das alte, in manchen Programmen gespeicherte, Passwort nicht mehr. Die Anmeldung muss mit dem neuen Passwort erfolgen. Nachlesen kannst Du das nochmal hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,
70,FALSE,FALSE,Arbeitsplatz einrichten,PC_erste_Anmeldung_Windows_Explorer,,Wie öffne ich den Windows Explorer?,"Wie finde ich den Windows Explorer?
Wo ist der Windows Explorer?
Wo ist der Explorer?
Windows Explorer öffnen","Der Winows Explorer kann geöffnet werden durch die Tastenkombination ""E"" und ""Winows-Taste"". In dieser Anleitung ist das nochmal festgehalten: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,
71,FALSE,FALSE,Arbeitsplatz einrichten,PC_erste_Anmeldung_Taskleiste,,Wie hefte ich ein Programm an die Taskleiste an?,"Wie hefte ich etwas an die Taskleiste an?
Wie füge ich etwas an die Taskleiste an?
Wie ergänze ich die Taskleiste um ein Programm?
Programm an Taskleiste anheften","An die Taskleiste können Programme mit einem Rechtsklick auf das Icon und Auswahl ""An Taskleiste anheften"" angeheftet werden. In dieser Anleitung wird das auch erklärt: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,
72,FALSE,FALSE,Arbeitsplatz einrichten,PC_erste_Anmeldung_Personalisierung,,Welche Programme muss ich personalisiert einrichten?,"Welche Programme muss ich personalisieren?
Muss ich Programme personalisieren?
Muss ich Programme personalisiert einrichten?
Müssen Programme besonders eingerichtet werden?",Für eine Übersicht der erforderlichen Schritte gibt es hier eine Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,Link geändert
73,FALSE,FALSE,Arbeitsplatz einrichten,Einrichtung_CDBurnerXP,,Wie richte ich den CDBurnerXP ein?,"Wie kann man den CDBurner einrichten?
Wie geht die Einrichtung des CDBurners?
Wie funktioniert die Einrichtung des CDBurnerXPs?
Einrichtung CDBurner",Für die Details zur Einrichtung des CDBurnerXP gibt es hier Informationen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,Link geändert
74,FALSE,FALSE,Arbeitsplatz einrichten,Einrichtung_VLC_Player,,Wie richte ich den VLC Player ein?,"Wie kann man den VLC Player einrichten?
Wie geht die Einrichtung des VLC Player?
Wie funktioniert die Einrichtung des VLC Player?
Einrichtung VLC Player",Für die Details zur Einrichtung des VLC Players gibt es hier Informationen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,Link geändert
75,FALSE,FALSE,Arbeitsplatz einrichten,Einrichtung_Microsoft_Office,,Wie richte ich Microsoft Office ein?,"Wie kann man Office einrichten?
Wie richtet man Office ein?
Wie geht die Einrichtung von MS Office?
Wie funktioniert die Einrichtung von Microsoft Office?
Einrichtung Office",Für die Details zur Einrichtung von Microsoft Office gibt es hier mehr Informationen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,Link geändert
76,FALSE,FALSE,Arbeitsplatz einrichten,Link_IT_Systemstatus,,Was finde ich unter dem Link “Aktueller IT-Systemstatus”?,"Wo finde ich Informationen zum aktuellen IT-Systemstatus?
Wo gibt es Infos zum aktuellen Systemstatus?
Was finde ich unter dem Link “Informationszentrum IT”?
Link aktueller IT-Systemstatus","Unter https://status.hdm-stuttgart.de sind aktuelle Informationen aus dem Bereich des Informationszentrums-IT. Wenn bestimmte Funktionen nicht nutzbar sind, kann das Problem bereits hier aufgeführt und bekannt sein. Weitere Infos findest Du hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf",,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,
77,FALSE,FALSE,Arbeitsplatz einrichten,IT_Problem,,"Was kann ich tun, wenn etwas nicht funktioniert?
","Was finde ich unter dem Link “HdM Trouble-Ticket-System”?
Wie öffne ich ein Ticket bei Problemen?",Das Trouble-Ticket-System der HdM (https://otrs.hdm-stuttgart.de/otrs/customer.pl) ermöglicht es Probleme und Fehler zu melden. Für mehr Infos kannst Du dich hier umschauen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Computer_Erstanmeldung.pdf,
